created_at,updated_at,event_id,entry_id,position,percentage,id
2026-03-18 20:57:26.029165,2026-03-18 20:57:26.029165,1038,24451,1,23.3,98
2026-03-18 20:57:26.029165,2026-03-18 20:57:26.029165,1038,24449,2,19.9,99
2026-03-18 20:57:26.029165,2026-03-18 20:57:26.029165,1038,24464,3,12.4,100
2026-03-18 20:57:26.029165,2026-03-18 20:57:26.029165,1038,24452,4,8,101
2026-03-18 20:57:26.029165,2026-03-18 20:57:26.029165,1038,24457,5,6.7,102
2026-03-18 20:57:26.220722,2026-03-18 20:57:26.220722,1039,24469,1,24.6,103
2026-03-18 20:57:26.220722,2026-03-18 20:57:26.220722,1039,24472,2,18.2,104
2026-03-18 20:57:26.220722,2026-03-18 20:57:26.220722,1039,24470,3,13.5,105
2026-03-18 20:57:26.220722,2026-03-18 20:57:26.220722,1039,24479,4,12.5,106
2026-03-18 20:57:26.220722,2026-03-18 20:57:26.220722,1039,24471,5,8.2,107
2026-03-18 20:57:26.399952,2026-03-18 20:57:26.399952,1040,24493,1,26.4,108
2026-03-18 20:57:26.399952,2026-03-18 20:57:26.399952,1040,24489,2,15.1,109
2026-03-18 20:57:26.399952,2026-03-18 20:57:26.399952,1040,24491,3,10.2,110
2026-03-18 20:57:26.399952,2026-03-18 20:57:26.399952,1040,24495,4,7.4,111
2026-03-18 20:57:26.399952,2026-03-18 20:57:26.399952,1040,24500,5,7.2,112
2026-03-18 20:57:26.564691,2026-03-18 20:57:26.564691,1041,24511,1,74,113
2026-03-18 20:57:26.564691,2026-03-18 20:57:26.564691,1041,24509,2,11,114
2026-03-18 20:57:26.564691,2026-03-18 20:57:26.564691,1041,24523,3,7,115
2026-03-18 20:57:26.564691,2026-03-18 20:57:26.564691,1041,24514,4,4,116
2026-03-18 20:57:26.564691,2026-03-18 20:57:26.564691,1041,24518,5,2,117
2026-03-18 20:57:26.778481,2026-03-18 20:57:26.778481,1042,24531,1,20.6,118
2026-03-18 20:57:26.778481,2026-03-18 20:57:26.778481,1042,24532,2,18.8,119
2026-03-18 20:57:26.778481,2026-03-18 20:57:26.778481,1042,24530,3,10.2,120
2026-03-17 00:49:53.883676,2026-03-31 17:01:31.318506,1169,30063,5,7.1,10
2026-03-17 00:49:30.181826,2026-03-31 17:02:02.63271,1169,30055,4,10.2,9
2026-03-17 00:45:52.408199,2026-03-31 17:02:22.928367,1169,30043,3,11.4,8
2026-03-18 20:57:26.778481,2026-03-18 20:57:26.778481,1042,24541,4,9.5,121
2026-03-18 20:57:26.778481,2026-03-18 20:57:26.778481,1042,24534,5,8,122
2026-03-18 20:57:26.922871,2026-03-18 20:57:26.922871,1043,24550,1,20.9,123
2026-03-18 20:57:26.922871,2026-03-18 20:57:26.922871,1043,24568,2,17.4,124
2026-03-18 20:57:26.922871,2026-03-18 20:57:26.922871,1043,24562,3,14.1,125
2026-03-18 20:57:26.922871,2026-03-18 20:57:26.922871,1043,24553,4,6.9,126
2026-03-18 20:57:26.922871,2026-03-18 20:57:26.922871,1043,24565,5,6.8,127
2026-03-18 20:57:27.11302,2026-03-18 20:57:27.11302,1044,24569,1,26.2,128
2026-03-18 20:57:27.11302,2026-03-18 20:57:27.11302,1044,24571,2,24.8,129
2026-03-18 20:57:27.11302,2026-03-18 20:57:27.11302,1044,24576,3,9.8,130
2026-03-18 20:57:27.11302,2026-03-18 20:57:27.11302,1044,24578,4,5.3,131
2026-03-18 20:57:27.11302,2026-03-18 20:57:27.11302,1044,24573,5,5.2,132
2026-03-18 20:57:27.297847,2026-03-18 20:57:27.297847,1045,24600,1,21.2,133
2026-03-18 20:57:27.297847,2026-03-18 20:57:27.297847,1045,24589,2,21,134
2026-03-18 20:57:27.297847,2026-03-18 20:57:27.297847,1045,24602,3,19.6,135
2026-03-18 20:57:27.297847,2026-03-18 20:57:27.297847,1045,24591,4,8.8,136
2026-03-18 20:57:27.297847,2026-03-18 20:57:27.297847,1045,24590,5,6.6,137
2026-03-18 20:57:27.439178,2026-03-18 20:57:27.439178,1046,24609,1,34.9,138
2026-03-18 20:57:27.439178,2026-03-18 20:57:27.439178,1046,24628,2,15.3,139
2026-03-18 20:57:27.439178,2026-03-18 20:57:27.439178,1046,24613,3,11.2,140
2026-03-18 20:57:27.439178,2026-03-18 20:57:27.439178,1046,24611,4,7,141
2026-03-18 20:57:27.439178,2026-03-18 20:57:27.439178,1046,24610,5,6.1,142
2026-03-18 20:57:27.619305,2026-03-18 20:57:27.619305,1047,24631,1,21.2,143
2026-03-18 20:57:27.619305,2026-03-18 20:57:27.619305,1047,24629,2,14.3,144
2026-03-18 20:57:27.619305,2026-03-18 20:57:27.619305,1047,24632,3,11,145
2026-03-18 20:57:27.619305,2026-03-18 20:57:27.619305,1047,24648,4,8.3,146
2026-03-18 20:57:27.619305,2026-03-18 20:57:27.619305,1047,24637,5,8,147
2026-03-18 20:57:27.822668,2026-03-18 20:57:27.822668,1048,24651,1,22,148
2026-03-18 20:57:27.822668,2026-03-18 20:57:27.822668,1048,24667,2,15.5,149
2026-03-18 20:57:27.822668,2026-03-18 20:57:27.822668,1048,24650,3,15,150
2026-03-18 20:57:27.822668,2026-03-18 20:57:27.822668,1048,24649,4,11.3,151
2026-03-18 20:57:27.822668,2026-03-18 20:57:27.822668,1048,24654,5,9.3,152
2026-03-18 20:57:27.985192,2026-03-18 20:57:27.985192,1049,24671,1,21,153
2026-03-18 20:57:27.985192,2026-03-18 20:57:27.985192,1049,24670,2,15,154
2026-03-18 20:57:27.985192,2026-03-18 20:57:27.985192,1049,24675,3,14,155
2026-03-18 20:57:27.985192,2026-03-18 20:57:27.985192,1049,24669,4,10,156
2026-03-18 20:57:27.985192,2026-03-18 20:57:27.985192,1049,24684,5,8,157
2026-03-18 20:57:28.135906,2026-03-18 20:57:28.135906,1050,24689,1,20.2,158
2026-03-18 20:57:28.135906,2026-03-18 20:57:28.135906,1050,24692,2,17.6,159
2026-03-18 20:57:28.135906,2026-03-18 20:57:28.135906,1050,24691,3,12.2,160
2026-03-18 20:57:28.135906,2026-03-18 20:57:28.135906,1050,24701,4,9.4,161
2026-03-18 20:57:28.135906,2026-03-18 20:57:28.135906,1050,24693,5,8.5,162
2026-03-18 20:57:28.278319,2026-03-18 20:57:28.278319,1051,24714,1,17,163
2026-03-18 20:57:28.278319,2026-03-18 20:57:28.278319,1051,24713,2,16.2,164
2026-03-18 20:57:28.278319,2026-03-18 20:57:28.278319,1051,24709,3,14.9,165
2026-03-18 20:57:28.278319,2026-03-18 20:57:28.278319,1051,24711,4,13.9,166
2026-03-18 20:57:28.278319,2026-03-18 20:57:28.278319,1051,24717,5,10.1,167
2026-03-18 20:57:28.423265,2026-03-18 20:57:28.423265,1052,24729,1,22.2,168
2026-03-18 20:57:28.423265,2026-03-18 20:57:28.423265,1052,24734,2,13.8,169
2026-03-18 20:57:28.423265,2026-03-18 20:57:28.423265,1052,24732,3,12.8,170
2026-03-18 20:57:28.423265,2026-03-18 20:57:28.423265,1052,24748,4,11.7,171
2026-03-18 20:57:28.423265,2026-03-18 20:57:28.423265,1052,24735,5,7.1,172
2026-03-18 20:57:28.716512,2026-03-18 20:57:28.716512,1053,24758,1,26.4,173
2026-03-18 20:57:28.716512,2026-03-18 20:57:28.716512,1053,24750,2,15.1,174
2026-03-18 20:57:28.716512,2026-03-18 20:57:28.716512,1053,24768,3,14,175
2026-03-18 20:57:28.716512,2026-03-18 20:57:28.716512,1053,24751,4,9.5,176
2026-03-18 20:57:28.716512,2026-03-18 20:57:28.716512,1053,24749,5,8.8,177
2026-03-18 20:58:25.014193,2026-03-18 20:58:25.014193,1054,24773,1,15,178
2026-03-18 20:58:25.014193,2026-03-18 20:58:25.014193,1054,24772,2,13.9,179
2026-03-18 20:58:25.014193,2026-03-18 20:58:25.014193,1054,24769,3,12.7,180
2026-03-18 20:58:25.014193,2026-03-18 20:58:25.014193,1054,24774,4,12.2,181
2026-03-18 20:58:25.014193,2026-03-18 20:58:25.014193,1054,24775,5,11.6,182
2026-03-18 20:58:25.293275,2026-03-18 20:58:25.293275,1055,24805,1,34.7,183
2026-03-18 20:58:25.293275,2026-03-18 20:58:25.293275,1055,24789,2,10.9,184
