id,team_id,previous_team_id,from_year,to_year,notes,created_at,updated_at
226,260,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
227,271,,1949,1951,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
228,272,,1951,1951,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
229,273,,1950,1960,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
230,274,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
231,275,,1951,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
232,276,,1951,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
233,277,,1951,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
234,278,,1951,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
235,279,,1951,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
236,280,,1951,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
237,281,,1951,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
238,174,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
239,285,,2025,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
240,268,,2020,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
242,270,,2024,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
243,267,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
244,265,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
245,264,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
246,262,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
247,263,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
248,261,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
249,290,,2024,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
252,321,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
253,322,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
254,324,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
255,325,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
256,326,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
257,327,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
258,328,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
259,329,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
260,330,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
261,331,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
251,61,1148,2020,2024,,2026-02-10 22:58:50.88428+00,2026-02-27 03:10:35.277799+00
250,286,1145,2020,2026,,2026-02-10 22:58:50.88428+00,2026-02-27 03:13:07.251024+00
262,332,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
263,333,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
264,334,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
265,335,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
266,336,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
267,337,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
268,338,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
269,339,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
270,340,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
271,341,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
272,342,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
273,343,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
274,344,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
275,345,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
